artifact,evidence_status,resolution_tier,replayable,producer,added_commit,cited_by_goal,seed,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint,note
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,400,243,60.8,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,400,291,72.8,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,400,245,61.3,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,400,242,60.5,ok,False,33ceeccd,291.8,07-27 13:38,http://localhost:1234/v1,
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,400,290,72.5,ok,False,33ceeccd,291.8,07-27 13:38,http://localhost:1234/v1,
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,400,243,60.8,ok,False,33ceeccd,291.8,07-27 13:38,http://localhost:1234/v1,
closed_set__grimgar03__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,400,243,60.8,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,400,291,72.8,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,400,245,61.3,ok,False,249d0d20,915.3,07-27 15:33,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-6,396,255,64.4,ok,False,04a69e4c,261.7,07-29 03:51,http://127.0.0.1:8090/v1,
closed_set__grimgar03__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-oracle,396,292,73.7,ok,False,04a69e4c,261.7,07-29 03:51,http://127.0.0.1:8090/v1,
closed_set__grimgar03__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,open,396,248,62.6,ok,False,04a69e4c,261.7,07-29 03:51,http://127.0.0.1:8090/v1,
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-6,400,246,61.5,ok,False,54573393,1430.8,07-27 20:32,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-oracle,400,305,76.2,ok,False,54573393,1430.8,07-27 20:32,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,open,400,247,61.8,ok,False,54573393,1430.8,07-27 20:32,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__index18__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,closed-6,99,70,70.7,ok,False,eff60648,97.5,07-29 15:26,http://127.0.0.1:8090/v1,
closed_set__index18__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,closed-oracle,99,78,78.8,ok,False,eff60648,97.5,07-29 15:26,http://127.0.0.1:8090/v1,
closed_set__index18__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,open,99,65,65.7,ok,False,eff60648,97.5,07-29 15:26,http://127.0.0.1:8090/v1,
closed_set__index18__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-6,99,60,60.6,ok,False,04a69e4c,62.6,07-29 03:53,http://127.0.0.1:8090/v1,
closed_set__index18__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-oracle,99,72,72.7,ok,False,04a69e4c,62.6,07-29 03:53,http://127.0.0.1:8090/v1,
closed_set__index18__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,open,99,66,66.7,ok,False,04a69e4c,62.6,07-29 03:53,http://127.0.0.1:8090/v1,
closed_set__microsoft__phi-4.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,48,32.7,ok,False,3d8765e7,112.6,07-26 20:08,http://localhost:1234/v1,
closed_set__microsoft__phi-4.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,87,59.2,ok,False,3d8765e7,112.6,07-26 20:08,http://localhost:1234/v1,
closed_set__microsoft__phi-4.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,67,45.6,ok,False,3d8765e7,112.6,07-26 20:08,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,60,40.8,ok,False,863041db,84.9,07-26 18:06,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,87,59.2,ok,False,863041db,84.9,07-26 18:06,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,69,46.9,ok,False,863041db,84.9,07-26 18:06,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,61,41.5,ok,False,863041db,64.0,07-26 18:01,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,90,61.2,ok,False,863041db,64.0,07-26 18:01,http://localhost:1234/v1,
closed_set__ministral-3-14b-instruct-2512.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,70,47.6,ok,False,863041db,64.0,07-26 18:01,http://localhost:1234/v1,
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,62,44.6,ok,False,13e9a77a,421.3,07-27 16:35,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,82,59.0,ok,False,13e9a77a,421.3,07-27 16:35,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,77,55.4,ok,False,13e9a77a,421.3,07-27 16:35,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,exploratory,git+naming,no,closed_set.py,63816575,,,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-6,139,84,60.4,ok,False,,445.8,07-28 08:43,http://127.0.0.1:8092/v1,
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,exploratory,git+naming,no,closed_set.py,63816575,,,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-oracle,139,104,74.8,ok,False,,445.8,07-28 08:43,http://127.0.0.1:8092/v1,
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,exploratory,git+naming,no,closed_set.py,63816575,,,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,open,139,83,59.7,ok,False,,445.8,07-28 08:43,http://127.0.0.1:8092/v1,
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-6,139,63,45.3,ok,False,49cb52a6,100.5,07-27 18:28,http://127.0.0.1:8080/v1,
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-oracle,139,80,57.6,ok,False,49cb52a6,100.5,07-27 18:28,http://127.0.0.1:8080/v1,
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,open,139,74,53.2,ok,False,49cb52a6,100.5,07-27 18:28,http://127.0.0.1:8080/v1,
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,63,45.3,ok,False,77a66871,254.3,07-27 16:04,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,79,56.8,ok,False,77a66871,254.3,07-27 16:04,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,73,52.5,ok,False,77a66871,254.3,07-27 16:04,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,139,54,38.8,ok,False,249d0d20,317.6,07-27 15:17,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,139,93,66.9,ok,False,249d0d20,317.6,07-27 15:17,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-14b.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,139,70,50.4,ok,False,249d0d20,317.6,07-27 15:17,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-6,136,55,40.4,ok,False,04a69e4c,65.2,07-29 03:52,http://127.0.0.1:8090/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-oracle,136,90,66.2,ok,False,04a69e4c,65.2,07-29 03:52,http://127.0.0.1:8090/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,open,136,72,52.9,ok,False,04a69e4c,65.2,07-29 03:52,http://127.0.0.1:8090/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,closed-6,139,54,38.8,ok,False,49cb52a6,81.7,07-27 18:46,http://127.0.0.1:8081/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,closed-oracle,139,93,66.9,ok,False,49cb52a6,81.7,07-27 18:46,http://127.0.0.1:8081/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,open,139,67,48.2,ok,False,49cb52a6,81.7,07-27 18:46,http://127.0.0.1:8081/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,55,39.6,ok,False,49cb52a6,90.6,07-27 18:51,http://localhost:1234/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,92,66.2,ok,False,49cb52a6,90.6,07-27 18:51,http://localhost:1234/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,69,49.6,ok,False,49cb52a6,90.6,07-27 18:51,http://localhost:1234/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,closed-6,139,55,39.6,ok,False,49cb52a6,87.6,07-27 18:57,http://127.0.0.1:8082/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,closed-oracle,139,93,66.9,ok,False,49cb52a6,87.6,07-27 18:57,http://127.0.0.1:8082/v1,
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,open,139,69,49.6,ok,False,49cb52a6,87.6,07-27 18:57,http://127.0.0.1:8082/v1,
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-6,139,65,46.8,ok,False,1e1ea850,496.9,07-27 20:08,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-oracle,139,89,64.0,ok,False,1e1ea850,496.9,07-27 20:08,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,historical_only,git+naming,no,closed_set.py,7746a7ae,,,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,open,139,73,52.5,ok,False,1e1ea850,496.9,07-27 20:08,https://lho3lk5l-1234.thundercompute.net/v1,
closed_set__owarimonogatari3__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,closed-6,162,67,41.4,ok,False,eff60648,165.9,07-29 15:29,http://127.0.0.1:8090/v1,
closed_set__owarimonogatari3__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,closed-oracle,162,93,57.4,ok,False,eff60648,165.9,07-29 15:29,http://127.0.0.1:8090/v1,
closed_set__owarimonogatari3__mistralai__magistral-small__local-llamacpp.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,open,162,76,46.9,ok,False,eff60648,165.9,07-29 15:29,http://127.0.0.1:8090/v1,
closed_set__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-6,162,69,42.6,ok,False,04a69e4c,110.4,07-29 03:55,http://127.0.0.1:8090/v1,
closed_set__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,closed-oracle,162,84,51.9,ok,False,04a69e4c,110.4,07-29 03:55,http://127.0.0.1:8090/v1,
closed_set__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-regold.json,supported_measurement,git+naming,no,closed_set.py,44704c7c,,,closed_set,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,open,162,77,47.5,ok,False,04a69e4c,110.4,07-29 03:55,http://127.0.0.1:8090/v1,
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,closed-6,147,51,34.7,ok,False,863041db,150.0,07-26 18:09,http://localhost:1234/v1,
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,closed-oracle,147,72,49.0,ok,False,863041db,150.0,07-26 18:09,http://localhost:1234/v1,
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,exploratory,git+naming,no,closed_set.py,a18dc600,,,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,open,147,52,35.4,ok,False,863041db,150.0,07-26 18:09,http://localhost:1234/v1,
closed_set__qwen__qwen3-14b.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,54,36.7,ok,False,3d8765e7,92.7,07-26 20:10,http://localhost:1234/v1,
closed_set__qwen__qwen3-14b.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,97,66.0,ok,False,3d8765e7,92.7,07-26 20:10,http://localhost:1234/v1,
closed_set__qwen__qwen3-14b.json,exploratory,git+naming,no,closed_set.py,7cb9e830,,,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,71,48.3,ok,False,3d8765e7,92.7,07-26 20:10,http://localhost:1234/v1,
cluster_vs_name.json,exploratory,git+naming,no,cluster_vs_name.py,f4a83982,,,,,,,,,,,,,,,,,,,,,,NOT INDEXED: no 'rows' list - this table only represents per-arm attribution results
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,committed_history.py,8e1ecdb1,,,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,none,400,254,63.5,ok,False,1613e5fc,337.5,07-28 03:23,http://127.0.0.1:8091/v1,
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,committed_history.py,8e1ecdb1,,,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,oracle,400,254,63.5,ok,False,1613e5fc,337.5,07-28 03:23,http://127.0.0.1:8091/v1,
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,historical_only,git+naming,no,committed_history.py,8e1ecdb1,,,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,predicted,400,249,62.3,ok,False,1613e5fc,337.5,07-28 03:23,http://127.0.0.1:8091/v1,
committed_history__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,git+naming,no,committed_history.py,44704c7c,,,committed_history,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,none,99,63,63.6,ok,False,04a69e4c,80.8,07-29 06:38,http://127.0.0.1:8090/v1,
committed_history__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,git+naming,no,committed_history.py,44704c7c,,,committed_history,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,oracle,99,60,60.6,ok,False,04a69e4c,80.8,07-29 06:38,http://127.0.0.1:8090/v1,
committed_history__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,git+naming,no,committed_history.py,44704c7c,,,committed_history,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,predicted,99,63,63.6,ok,False,04a69e4c,80.8,07-29 06:38,http://127.0.0.1:8090/v1,
committed_history__mushoku16__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,git+naming,no,committed_history.py,44704c7c,,,committed_history,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,none,136,69,50.7,ok,False,04a69e4c,77.8,07-29 06:37,http://127.0.0.1:8090/v1,
